,tweet,likes,date
197,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 19:12:45
198,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 19:10:17
199,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 19:09:54
200,@SekuruRoddie @AlekeMukunga @ngungunyana @garweh2011 @vargoe21 @PhilipMtserwa @PatBanda23 @Mutape88 @W3Zhira… https://t.co/jyzPxUBehu,2,2021-07-26 11:55:35
201,"@UEFA It's a European Super League, but it's OK because it's a UEFA European Super League.",3,2021-07-26 11:36:58
202,Barca are f***ed. No wonder they were so desperate for European super league https://t.co/2vCdHUXgad,0,2021-07-26 11:32:59
203,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 11:29:58
204,@AtTheRaces @joshapiafi @RacingLeagueUK @skysportsAlexH @LeonnaMayor @BumbleCricket @Rosie_Tapner Welcome to racing… https://t.co/UCOvYsLJWn,0,2021-07-26 11:05:30
205,"RT @PetejPjvale: European super league OUTRAGE , medical apartheid through vax passports silence . Fan groups #MUFC #LFC #Chelsea #Spurs #M…",0,2021-07-26 11:01:00
206,@woodsphil @BorisJohnson @TeamGB Because he will claim it's because of brexit they won. Just like his regurgitation… https://t.co/DEwFA4cW6H,0,2021-07-26 10:46:38
207,"European super league OUTRAGE , medical apartheid through vax passports silence . Fan groups #MUFC #LFC #Chelsea… https://t.co/dYugh4mFFd",0,2021-07-26 10:45:58
208,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 10:42:08
209,"RT @GrizzKhan: Congratulations to @ManUtd 
The only team to be knocked out of the Champions league , Europa league and European super leagu…",0,2021-07-26 10:35:50
210,"RT @MSHopkins4: Just announced, that you can't attend any Premier League football matches, if you haven't had the 'shots' by October! Now A…",0,2021-07-26 10:32:26
211,"RT @MrPoncho_83: Talk that Varane to United is close and  then we'll look to bring in a midfielder

If all this happens, the Glazers can st…",0,2021-07-26 10:25:54
212,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 10:18:35
213,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 10:16:13
214,"Talk that Varane to United is close and  then we'll look to bring in a midfielder

If all this happens, the Glazers… https://t.co/w7cukGY5s6",0,2021-07-26 10:13:01
215,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 10:12:29
216,"RT @MSHopkins4: Just announced, that you can't attend any Premier League football matches, if you haven't had the 'shots' by October! Now A…",0,2021-07-26 10:11:35
217,RT @Donttalksquit: This is why they (and others) wanted the European Super League. Fuck all to do with saving football and all to do with t…,0,2021-07-26 10:08:57
218,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 10:03:35
219,When United are getting Varane for £45 million and Ramos leaves for PSG you realise just how much Real Madrid neede… https://t.co/bWxxerdDg8,10,2021-07-26 10:02:48
220,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 10:02:29
221,"Both #Barca &amp; #RM have mismanaged themselves into fiscal chaos, this was surely their main drivers with creating th… https://t.co/sKeopMoTiD",1,2021-07-26 10:00:52
222,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 09:48:45
223,This is why they (and others) wanted the European Super League. Fuck all to do with saving football and all to do w… https://t.co/P1gJrnzutq,1,2021-07-26 09:43:18
224,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 09:42:32
225,"RT @MSHopkins4: Just announced, that you can't attend any Premier League football matches, if you haven't had the 'shots' by October! Now A…",0,2021-07-26 09:39:56
226,@BeardedGenius @SwissRamble Why MUFC would have signed up to the European Super league whilst knowing this is extra… https://t.co/Qnm7DoGkzr,0,2021-07-26 09:38:59
227,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 09:33:48
228,@RacingTV @GrantTuerRacing @MusselburghRace @_tomstanley_ The Racing League should have been stopped at inception i… https://t.co/oT27fidc7Q,4,2021-07-26 09:33:37
229,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 09:32:27
230,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 09:30:56
